object_id,global_id,row_id,parent_row_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,market_condition,market_security,materials_buy,materials_buy_refined_cxc9401,materials_buy_refined_newNames,materials_buy_x,materials_buy_y,market_depth,market_depth_other,cash_food_local,no_travel_needs,outside_job,outside_job_yes_where,outside_job_yes_where_x,outside_job_yes_where_y,outside_job_yes_what,outside_job_yes_what_other,paid_locals_same,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp,customer_locations_camp_change,customer_locations_camp_change_why,entrepreneurship_training,training_grow,training_grow_other,finances_care,finances_care_other,business_leave_camp,business_leave_camp_when,business_five_years,leave_camp_support_business,id_problem_fequency,informal_banking_services,key_good_demand_change,Business_Final_21_Feb_creation_date,Business_Final_21_Feb_creator,Business_Final_21_Feb_edit_date,Business_Final_21_Feb_editor,x,y,ObjectID,GlobalID,household_money_supply,household_money_supply_other,household_money_supply_other_traders,goods_repeat_final_21_Feb_creation_date,goods_repeat_final_21_Feb_creator,goods_repeat_final_21_Feb_edit_date,goods_repeat_final_21_Feb_editor
37,f2a0725d-f788-4c57-a5fd-b7087fa39fb0,d338974c-a7e3-4040-8db8-af5dbeba95f1,d338974c-a7e3-4040-8db8-af5dbeba95f1,kigeme,2,yesother,2,15,grocery,good,good,Butare,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,five,decrease,1/16/2017,,,aroundcamp,Everywhere,yes,Not enough credit to buy corn and,yes,training,,other,"Buy maize with profits, and store. Also bank account",yes,,"With enough money, will earn enough credit to buy produce required",monthly,frequent,commbank,yes,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52561,-2.48676,29,4d0fb12d-4900-4b7a-9781-bb5a1211c822,,,Because they dont have enough money to purchase produce,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS
38,703b470d-da4a-4847-89a1-52b139ca0da1,d4a67b78-abcd-4288-bdf5-a8645313a872,,kigeme,40,yesfamily,40,20,clothing,good,poor,Nyamagabe,Nyamagabe,Nyamagabe,29.466667,-2.4,house,,yes,,no,,,,,,,five,increased,########,,,aroundcamp,Camp and host community,yes,"Many things, their family is living better beacuse of their business",no,"financing,training",,mobilemoney,,yes,,"If get more money, business will be secure",daily,monthly,saco,yes,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52462,-2.48756,,,,,,,,,
39,fdff027a-7ea4-4232-97a8-984ab1ab81a2,a519c904-ea1c-4168-8802-ed0c210a421a,a519c904-ea1c-4168-8802-ed0c210a421a,kigeme,1,yesother,3,8,clothing,good,good,Cyanngugu,Cyangugu,Cyangugu,28.896667,-2.483333,other,Drc,yes,,no,,,,,,,four,increased,1/19/2015,,,aroundcamp,"Everywhere, even outside camp",yes,"More business, if more money can make new buissnes",yes,training,,mobilemoney,,yes,,Buissnes will have grown,monthly,frequent,mobile,yes,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52456,-2.4883,30,924d56ae-45f0-4c2e-9e30-8edf8f366e86,,,suppliers lack funds to purchase supplies,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS
40,50c6b3fa-830d-4f39-baf8-b723b36da8cb,4869afdc-27da-42fe-ba22-160f1f6278df,,kigeme,0,noemploy,,28,grocery,good,poor,Butare,Huye,Huye,29.75,-2.6,daily,,yes,,no,,,,,,,five,remain,########,,,aroundcamp,From camp only,yes,only existed for two months,no,other,Mvisa,other,Spend it,yes,,Hopefully have enough money to build bigger business,monthly,monthly,nobank,no,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52339,-2.48542,,,,,,,,,
41,7d3ba866-f317-4739-b0c3-40fe2a20cef1,0da64f53-ed4a-4475-a8d6-5e33b51329ed,0da64f53-ed4a-4475-a8d6-5e33b51329ed,kigeme,0,noemploy,,80,"grocery,general",good,good,Gasarenda and nyamagabe,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",daily,,yes,,no,,,,,,,five,increased,1/18/2015,,,aroundcamp,Everywhere,yes,More produce available,yes,training,,mobilemoney,,yes,,more products available for sale,weekly,monthly,mobile,yes,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52432,-2.48463,31,2a104ff5-9009-4dbe-ad31-c1153924d8cc,,,Not enough funds,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS
42,ba29a923-1048-43d9-bce5-efa853dd17c9,c658375b-d0d3-4959-a033-4d2a9fd9d99b,c658375b-d0d3-4959-a033-4d2a9fd9d99b,kigeme,1,noemploy,,5,other,good,good,kigeme.,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,five,remain,7/6/2012,,,aroundcamp,kigeme.,no,,no,training,,remittances,,yes,,it will be the same.,daily,frequent,nobank,no,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS,29.51321,-2.49164,32,fb9583dd-06b4-4676-aa7b-88f8e5481741,,,"low capital, sorghum business.",1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS
43,42b0d8bb-002c-4c87-9637-e6c9f941ead3,145bd333-ae1c-4ac4-846b-e46ee3d8eb57,145bd333-ae1c-4ac4-846b-e46ee3d8eb57,kigeme,1,noemploy,,6,other,good,good,kigeme.,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,four,increased,7/31/2013,,,aroundcamp,kigeme.,yes,because there is increasing of price.,no,financing,,mobilemoney,,yes,,it will have a good image.,weekly,frequent,mobile,yes,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS,29.50487,-2.49749,33,071ecfb3-a031-4f93-9618-78d373de6069,,,low capital. sorgum beer business,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS
44,a181a29b-6aa9-418c-892b-e10af1ce415b,e9c14561-9b20-4a97-aea7-2d22d767d2d5,e9c14561-9b20-4a97-aea7-2d22d767d2d5,kigeme,1,yeshost,3,7,business,good,good,"nyamagabe, inzega and gasarenda.","Nyamagabe,Inzega,Gasarenda.","Nyamagabe,Inzega,Gasarenda.",29.466667,-2.4,house,,yes,,no,,,,,,,five,increased,########,,,aroundcamp,kigeme.,yes,because they increase day to day.,yes,financing,,mobilemoney,,yes,,it will have a good image.,monthly,monthly,commbank,yes,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS,29.51321,-2.49164,34,cf37b3a7-bf45-41fe-a279-529173909d16,,,low capital,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS
45,7a0b43e3-77c3-48ed-b5cc-801cf2d48139,9f4ab2ee-a5cd-449d-a771-60e937f15abb,9f4ab2ee-a5cd-449d-a771-60e937f15abb,kigeme,1,noemploy,,10,business,good,good,"kizi , karambi and gasarenda","Kizi,Karambi,Gasarenda","Kizi,Karambi,Gasarenda","29.583408, 29.229167, 29.481358","-2.51671, -2.339167, -2.503111",house,,yes,,no,,,,,,,five,increased,7/6/2016,,,aroundcamp,kigeme,yes,yeah! because of increasing of hungry,yes,financing,,mobilemoney,,yes,,it will have a good image,monthly,monthly,mobile,yes,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS,29.51321,-2.49164,35,a5ab82f2-8a2d-493a-8ea8-5db47c331a17,,,low capital,1/18/2017,bmtski@rit.edu_RITArcGIS,1/18/2017,bmtski@rit.edu_RITArcGIS
46,776ca79d-d225-437d-9e7f-ab2c3d127ccf,4cd7713d-ad1a-4694-9369-0bdb248bb5f7,,kigeme,1,noemploy,,8,"clothing,other",damaged,good,Nyamagabe and Gasarenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",nosell,,yes,,no,,,,,,,one,decrease,2/16/2013,,,districtonly,,yes,Loss of money,no,training,,underbed,,yes,,A good life,monthly,daily,nobank,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.5232,-2.48271,,,,,,,,,
47,478b2b18-ef8f-4bc5-9d22-3e97ddc5ab84,82e013ea-4594-46ee-b323-72255a7570e3,,kigeme,2,yesfamily,1,10,"other,clothing",good,good,Kigeme Town and Nyamagabe.,"KigemeTown,Nyamagabe.","Kigeme,Nyamagabe.","29.527007, 29.466667","-2.484313, -2.4",nosell,,yes,,no,,,,,,,one,decrease,2/21/2015,,,aroundcamp,Quarter 8,yes,the loss of materials,no,other,A computer scientist.,mobilemoney,,yes,,To have 2 million Rwf,weekly,monthly,mobile,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.52344,-2.48325,,,,,,,,,
48,50c07b27-4254-43f1-94ed-d64672e0be89,8f90bcfd-8d1f-41b2-8898-f0da8f329acd,,kigeme,3,yesfamily,2,15,"other,restaurant",damaged,good,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,three,decrease,########,,,aroundcamp,This quarter,yes,The price of goods are expensive.,no,training,,"underbed,other",Commercial bank,yes,,To make the work stronger. To be outside the camp. The development of this business will spread outside the camp.,weekly,daily,commbank,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.52176,-2.48307,,,,,,,,,
49,7a6ad568-179b-470c-a975-813b7b57d9f0,eb45bdce-861d-4141-a4a1-bf20c922aab4,,kigeme,2,yesfamily,1,5,"other,clothing",damaged,damaged,Nyamagabe and Gasarenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",nosell,,yes,,no,,,,,,,two,decrease,6/26/2012,,,aroundcamp,Around the business.,yes,The change to cash.,yes,training,,mobilemoney,,yes,,To have a development. Have a bigger business. Be more developed.,weekly,monthly,mobile,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.52104,-2.48286,,,,,,,,,
50,c6b004f2-f787-4668-b95e-c6839dce1251,b29f707d-c0ea-46fd-82ea-89f1b453a7ed,,kigeme,1,noemploy,,20,grocery,good,good,Gasarenda and Nyamagabe,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,one,decrease,8/6/2015,,,aroundcamp,Around the business.,yes,Because of a loan.,yes,training,,other,Bank,yes,,To find a new job.,daily,daily,saco,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.52105,-2.48267,,,,,,,,,
51,a7ec278b-6ab7-44d3-a432-21f8878c575c,fb7fae3e-93b9-4660-9187-f33e62ecee71,,kigeme,5,yesother,4,5,other,good,good,Kigali and Gisenyi,"Kigali,Gisenyi","Kigali,Gisenyi","30.059444, 29.25","-1.943889, -1.7",house,,yes,,no,,,,,,,one,decrease,8/4/2015,,,aroundcamp,Around the business.,yes,Opportunity,no,financing,,underbed,,no,,To have a development.,monthly,daily,nobank,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.52142,-2.48211,,,,,,,,,
52,722efc17-16af-4814-9e86-07c5efb2e552,c2b40a06-3ce2-4de2-9061-c926c66e67fd,,kigeme,4,yesfamily,3,8,grocery,good,good,Kigeme Town,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,four,decrease,4/20/2014,,,aroundcamp,Around here,yes,Because of the opportunity.,no,training,,other,Formal bank,yes,,To have a good life.,daily,monthly,saco,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.5212,-2.48207,,,,,,,,,
53,20c721be-d8bf-499e-a746-31fc0340fb55,48b567de-293d-481b-8fcd-7e31ae0e4ac6,,kigeme,1,noemploy,,50,general,poor,good,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,one,increased,2/27/2016,,,districtonly,,yes,"He was working outside, but now he has a house that he works in.",no,training,,other,Corporate bank,yes,,To make it stronger.,weekly,weekly,commbank,yes,1/18/2017,cxc9401@rit.edu_RITArcGIS,1/18/2017,cxc9401@rit.edu_RITArcGIS,29.52196,-2.48223,,,,,,,,,
54,812bf6c2-6a7b-4e23-9ca3-7c91e0dcaea7,1bc3cc46-ac62-425e-8a17-8a2340d70fa1,1bc3cc46-ac62-425e-8a17-8a2340d70fa1,kigeme,1,noemploy,,20,restaurant,good,good,Kigeme center,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,five,increased,########,,,aroundcamp,Everywhere,no,,yes,financing,,mobilemoney,,yes,,"If she gets funds, can be biggest business (bar)",daily,frequent,"mobile,microloan",yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52372,-2.48303,36,149114b2-3e77-4632-a00d-9a08ca8be927,,,Suppliers lack funds to supply goods,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS
55,a3d15c34-41c8-4d20-b4d5-35bd23fe761b,6250249c-ed6a-4514-aeaa-d0f9ff705ea8,6250249c-ed6a-4514-aeaa-d0f9ff705ea8,kigeme,1,noemploy,,3,clothing,poor,good,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,four,increased,10/6/2014,,,aroundcamp,Q7v4,no,,no,"financing,training",,mobilemoney,,yes,,If get funds I will reach to every thing,weekly,frequent,"microloan,mobile",yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.5238,-2.48308,37,18cd619b-7c5a-4d8f-bfc6-9b404025ded3,,,Not enough money,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS
56,3f703299-3c3c-4279-9e50-1dd374fd9b9f,d75a217d-0f1b-4cd3-8fb1-58a34a47edd5,d75a217d-0f1b-4cd3-8fb1-58a34a47edd5,kigeme,1,noemploy,,17,general,good,good,Nyamagabe or gasarenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,five,increased,########,,,aroundcamp,Everywhere,yes,,no,financing,,mobilemoney,,yes,,"She will buy more goods, if she has the funds",monthly,frequent,"microloan,mobile",yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52341,-2.48243,38,f5b5c69d-ccdb-4f1f-aab6-233884c3b2da,,,Not enough funds to purchase goods,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS
57,b1d74e9a-797b-4720-a42b-53e4df418a56,c8c76f78-e7cf-4ea1-8749-ae4a4fa9b58b,c8c76f78-e7cf-4ea1-8749-ae4a4fa9b58b,kigeme,1,noemploy,,13,restaurant,good,good,Kigeme,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,five,increased,8/12/2014,,,aroundcamp,Everywhere,yes,More profit,no,"financing,training",,other,"Purchase clothes, household items",yes,,"if find funds, she will buy many things",daily,frequent,nobank,yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52316,-2.482,39,c6a82cd8-0e46-478b-b7c4-53fa0c5e5f55,,,Not enough money to buy goods,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS
58,75550976-4cdb-418b-bccd-36a5ce593a4c,78454021-fba1-404e-a6c0-fdc0abaffb96,,kigeme,1,noemploy,,0,other,poor,poor,Nyamagabe and ryarubondo,"Nyamagabe,Ryarubondo","Nyamagabe,Ryarubondo","29.466667, 29.51694444","-2.4, -2.5312",house,,yes,,no,,,,,,,zero,increased,6/12/2016,,,districtonly,,yes,No credit,no,"training,financing",,mobilemoney,,yes,,"If she gets funds, she can get whatever she wants",weekly,frequent,"microloan,mobile",no,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52338,-2.48232,,,,,,,,,
59,4cd77daa-865e-4881-871b-955dbf7e1103,812ae0a1-7332-4701-8176-f87947d2e091,,kigeme,1,noemploy,,5,hair,poor,good,"No where,she use a cesor",Nowhere,Nowhere,,,daily,,yes,,no,,,,,,,two,increased,4/11/2012,,,aroundcamp,In camp,yes,Because they got some money,no,"training,financing",,other,What iget i use it as well as i have many consomers,yes,,"If they get funds, they will try many things",frequent,frequent,nobank,yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52347,-2.48241,,,,,,,,,
60,4d72e12c-3969-4c6e-9671-50681a6e708f,f6159a5f-031c-4acd-b98e-fd4eb0ed4129,,kigeme,10,yesfamily,10,15,"grocery,restaurant,general",good,good,Kigeme,KigemeTown,Kigeme,29.527007,-2.484313,daily,,yes,,no,,,,,,,two,notapplicable,12/6/2016,,,aroundcamp,Everywhere,no,,yes,financing,,other,Saco,yes,,Increased business,daily,monthly,saco,no,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52368,-2.48337,,,,,,,,,
61,025fbe83-9cfc-4965-8fb9-1eb3b1c3252a,b2365299-5911-4946-a521-71511a429f0a,,kigeme,1,noemploy,,8,grocery,good,good,Kigeme,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,three,remain,3/1/2015,,,aroundcamp,"Everywhere in camp, sometimes even from outside the camp",no,,no,"financing,training",,"mobilemoney,underbed",,yes,,"Increased business, if he gets financing and training",weekly,daily,mobile,yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52376,-2.4835,,,,,,,,,
62,a8b17a0d-80d0-4de9-8d32-539ae4dd9bf4,69b69f75-1b93-4aee-af52-6d86ebe20c59,,kigeme,1,noemploy,,10,woodcharcoal,good,good,Gakoma,Gakoma,Gakoma,29.63333333,-1.7,daily,,yes,,no,,,,,,,four,decrease,2/2/2015,,,aroundcamp,Only from this camp (kigeme),yes,"more profits this past month, bc money was distributed instead of food",no,"financing,training",,mobilemoney,,yes,,Increase,daily,monthly,mobile,yes,1/18/2017,kdm1629@rit.edu_RITArcGIS,1/18/2017,kdm1629@rit.edu_RITArcGIS,29.52392,-2.48361,,,,,,,,,
63,e5406a29-f922-4a0f-94a7-51ea4a387bc5,0ef7a32c-9cde-4910-8858-42bb40229538,,kigeme,2,noemploy,,30,craft,good,good,cyangugu market,Cyangugu,Cyangugu,28.896667,-2.483333,house,,yes,,no,,,,,,,three,increased,6/13/2012,,,aroundcamp,inside the camp,yes,yes because the customers especially increased in business,yes,financing,,other,saco bank,yes,,my vision about my business is expanding even outside the camp,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52264,-2.48252,,,,,,,,,
64,b2ec2735-9523-42c7-9a19-6fe04b20efb2,d4760fb7-7a28-4caa-9086-9f492c0db454,,kigeme,1,noemploy,,10,craft,average,good,gasalenda/huye market,"Gasarenda,Huye","Gasarenda,Huye","29.481358, 29.75","-2.503111, -2.6",house,,yes,,no,,,,,,,five,remain,########,,,aroundcamp,inside the camp,no,,no,financing,,other,tigo cash,yes,,I expect to expanding my business,monthly,monthly,nobank,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52275,-2.48232,,,,,,,,,
65,4974d133-eb55-4f5c-a1fd-3ba8f6f0f88b,b61d42c3-a896-4cb4-bf48-dfe4116547d3,,kigeme,1,noemploy,,50,craft,average,good,Gasalenda/Nyamagabe market,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,five,increased,4/23/2013,,,aroundcamp,it comes inside the camp,yes,ues because the increase of money was on high level,no,training,,other,Saco bank,yes,,I predict to work even outof the camp,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52228,-2.48234,,,,,,,,,
66,8fec0ae5-c706-4425-b2a8-0ba07b3328e9,dd6443ef-885d-40c5-ba8a-b96fc446ed35,,kigeme,2,yesfamily,2,150,craft,good,good,gasalenda/huye market,"Gasarenda,Huye","Gasarenda,Huye","29.481358, 29.75","-2.503111, -2.6",house,,yes,,no,,,,,,,five,increased,########,,,aroundcamp,is coming inside the camp,yes,yes because the moneyw was increased in the last12 months,yes,financing,,other,Equity bank/I&M bank,yes,,Iexpect to expand my business even outside the camp,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52266,-2.48255,,,,,,,,,
67,47a9b979-cb77-4c38-9e55-efce964acb88,019b2aed-cc07-4fcd-8930-ccdfb19f627a,,kigeme,1,noemploy,,100,craft,poor,good,gasalenda/nyamagabe market,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,five,increased,5/14/2014,,,aroundcamp,there are coming inside the camp,yes,yes because of I see many customers,yes,financing,,other,tigo cash,yes,,I expect to expanding my business,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52262,-2.48867,,,,,,,,,
68,c7407db3-eb3b-4ca6-a582-0bbdc2e70f1f,8c24b6a6-5c14-4ff3-8cb5-7b9f3c7652e3,,kigeme,1,yesfamily,1,50,craft,poor,good,gasalenda/nyamagabe/ huye market,"Gasarenda,Nyamagabe,Huye","Gasarenda,Nyamagabe,Huye","29.481358, 29.466667, 29.75","-2.503111, -2.4, -2.6",house,,yes,,no,,,,,,,five,increased,1/26/2014,,,aroundcamp,inside the camp,yes,when we did mais the customers were so many than today,no,training,,underbed,,yes,,I expect to be the business man out of the camp,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52246,-2.48877,,,,,,,,,
69,c7eff90a-7023-420d-b73c-a546291bd36c,be0c91f7-223d-4065-9996-a3fff6743153,,kigeme,1,noemploy,,8,craft,average,good,gasalenda market,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,five,remain,4/3/2016,,,aroundcamp,only inside the camp,no,,no,financing,,mobilemoney,,yes,,after five years i predict toexpand my business in order to give to others peoples the services,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52459,-2.4881,,,,,,,,,
70,c70cc35f-6dc7-436b-aa2b-6e842fdce889,f4379740-a72f-4b7e-a326-1429c8591671,,kigeme,1,noemploy,,5,craft,average,good,gasalenda market,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,five,decrease,9/21/2016,,,aroundcamp,inside the camp,yes,because of the competitors they are so many,no,financing,,underbed,,yes,,expand my business like others,monthly,monthly,nobank,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52297,-2.48561,,,,,,,,,
71,8dee7a90-92cb-41ad-be6d-1e70864b77bc,74754483-18fd-4fe8-8bf9-15b1f7fea1c7,,kigeme,1,noemploy,,20,craft,good,good,nyamagabe market,Nyamagabe,Nyamagabe,29.466667,-2.4,house,,yes,,no,,,,,,,five,increased,7/7/2015,,,aroundcamp,inside the camp,yes,yes because the increase was on high,yes,financing,,other,saco bank,yes,,in the five years if I found money rather than one ihave today my business it will be increased,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52258,-2.48697,,,,,,,,,
72,16fe3026-2bfc-4fc6-bac3-fb8777b100c2,51575f9d-8ecc-43bd-b6cc-4d2613d81090,,kigeme,1,noemploy,,30,craft,poor,good,gasalenda market/ kigeme center,"Gasarenda,KigemeTown","Gasarenda,Kigeme","29.481358, 29.527007","-2.503111, -2.484313",house,,yes,,no,,,,,,,five,increased,2/14/2014,,,aroundcamp,the customers are coming inside the camp,yes,yes because the money was increased,yes,financing,,other,tigo cash,yes,,my business in five years it will be on high level,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52402,-2.48697,,,,,,,,,
73,90dedc49-f193-4996-8497-e1290ba927c9,fb54adde-edf8-412e-949e-ee026a0c97ef,,kigeme,1,noemploy,,30,craft,good,good,nyamagabe /gasalenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,five,increased,6/30/2012,,,aroundcamp,inside the camp,yes,when we have got money thecost is at the high level,yes,financing,,other,saco bank,no,it because the money igot from the camp is not enough,the business will be increased than today,monthly,monthly,saco,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.52347,-2.48527,,,,,,,,,
74,664015d0-17a1-4527-987b-ad60076dc2db,b82f6b49-b7a7-4ad2-bbcf-fc4c967994e8,b82f6b49-b7a7-4ad2-bbcf-fc4c967994e8,mugombwa,1,noemploy,,20,restaurant,poor,good,at bishya centre,BishyaCenter,Bishya,,,house,,yes,,no,,,,,,,five,increased,1/13/2016,no,,aroundcamp,from bishya centre,yes,customers increased,no,financing,,mobilemoney,,no,,it will grow.,daily,monthly,mobile,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.85158,-2.67458,41,d3a2aa8d-7ef9-4a92-a29c-562907e80884,firewood,,insufficient capital and lack of forests,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS
74,664015d0-17a1-4527-987b-ad60076dc2db,b82f6b49-b7a7-4ad2-bbcf-fc4c967994e8,b82f6b49-b7a7-4ad2-bbcf-fc4c967994e8,mugombwa,1,noemploy,,20,restaurant,poor,good,at bishya centre,,,,,house,,yes,,no,,,,,,,five,increased,1/13/2016,no,,aroundcamp,from bishya centre,yes,customers increased,no,financing,,mobilemoney,,no,,it will grow.,daily,monthly,mobile,yes,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS,29.85158,-2.67458,40,f0209bb0-04c0-466b-b8b0-740521ea41bb,phones,,,1/18/2017,ahk7655@rit.edu_RITArcGIS,1/18/2017,ahk7655@rit.edu_RITArcGIS
