object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,market_condition,market_security,materials_buy,materials_buy_refined_cxc9401,market_depth,cash_food_local,no_travel_needs,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp,customer_locations_camp_change,customer_locations_camp_change_why,entrepreneurship_training,training_grow,training_grow_other,finances_care,finances_care_other,business_leave_camp,business_five_years,leave_camp_support_business,id_problem_fequency,informal_banking_services,key_good_demand_change,x,y,household_money_supply,household_money_supply_other,household_money_supply_other_traders
88,kigeme,2,yesfamily,0,35,grocery,average,average,Icyizi,Icyizi,house,yes,,no,three,increased,5/31/2013,,,aroundcamp,All around,no,,yes,financing,,mobilemoney/other,Bank account,no,if she get capital the business will grow if not it will stay the same,weekly,monthly,microloan/mobile/commbank,yes,29.52329,-2.48301,,,Decreased/ because of little capital
89,kigeme,2,yesfamily,0,10,grocery,average,average,Gasarenda,Gasarenda,house,yes,,yes,two,decrease,6/9/2013,,,aroundcamp,All around,no,,no,financing,,other,Micro financing,no,If she recieves money the business will grow,weekly,monthly,microloan,yes,29.5233,-2.48308,,,food price increase/ her food became to expensive for locals
90,kigeme,2,yesfamily,0,30,other,average,average,Gasarenda,Gasarenda,house,yes,,no,three,decrease,6/10/2013,,,aroundcamp,All around,no,,no,financing/training,,underbed,,yes,Biss is improving/ should be able to make a decent profit in 5 year,weekly,monthly,nobank,yes,29.52325,-2.4831,,,Decreased/ prices haf to be increased and there is not enough money
91,kigeme,3,yesfamily,2,55,general/cell,average,average,Garenda nyamagabe kigali,Nyamagabe/Gasarenda/Kigali,house,yes,,yes,two,decrease,9/30/2016,,,aroundcamp,All over,no,,yes,financing,,remittances/mobilemoney/other,Micro finances/ banks,yes,Over the cource of one year the businesshas grown rapidly/ he expects that in 5 years business will blossom,weekly,monthly,microloan/mobile/commbank,no,29.52342,-2.48308,,,
92,kigeme,1,noemploy,,20,grocery,poor,good,Kizi,Kizi,daily,yes,,no,five,decrease,########,,,aroundcamp,Kigeme and gakoma,yes,She don't sell her product on credit,yes,financing/training,,other,Sacco,yes,She is not sure,daily,frequent,saco,yes,29.51282,-2.49222,,,
93,kigeme,1,noemploy,,6,other,poor,good,Gasarenda,Gasarenda,house,yes,,no,two,increased,########,,,districtonly,,no,,no,financing/training,,underbed,,yes,In 5 years the profit from the first drink business will be used to open a second restaurant business s,daily,frequent,microloan,yes,29.50463,-2.49858,,,
94,kigeme,1,noemploy,,4,woodcharcoal,poor,good,Gakoma,Gakoma,house,yes,,no,five,decrease,4/7/2014,,,districtonly,,no,,no,financing/training,,underbed,,yes,Her business will be grow up 5 time in size,weekly,frequent,microloan,no,29.50396,-2.49909,,,
95,kigeme,1,noemploy,,8,other,poor,good,Gakoma,Gakoma,house,yes,,no,five,increased,8/13/2012,,,districtonly,,no,,no,financing/training,,underbed,,yes,Her business will be changed to general store,weekly,frequent,nobank,no,29.50509,-2.49895,,,
96,kigeme,1,noemploy,,5,other,poor,average,Kigeme center,KigemeTown,house,yes,,no,five,decrease,5/3/2016,,,districtonly,,no,,yes,financing/training,,underbed,,yes,She doesn't think she will have a business in 5 years because income is decreasing,daily,frequent,nobank,yes,29.52054,-2.4833,,,
97,kigeme,5,yesfamily,5,50,general/other/grocery,poor,good,Kigeme center/kizi and gasarenda,KigemeTown/Kizi/Gasarenda,daily,yes,,no,five,increased,1/13/2015,,,aroundcamp,Kigeme center /gakoma,no,,yes,financing,,other,Bank,yes,Grow 4 times in the size,daily,frequent,saco,yes,29.52279,-2.48268,,,
98,kigeme,2,yesfamily,2,15,general/grocery,poor,good,Kizi,Kizi,daily,yes,,no,five,increased,2/4/2016,,,districtonly,,yes,Because of new products come into the business,yes,financing/training,,mobilemoney,,yes,She will introduce more new products,daily,frequent,saco/microloan,yes,29.52267,-2.48271,,,
99,kigeme,1,noemploy,,20,general/grocery,poor,good,Gasarenda,Gasarenda,house,yes,,no,five,decrease,1/26/2016,,,districtonly,,no,,no,training/financing,,mobilemoney,,yes,Her business will be double,weekly,frequent,microloan,no,29.52238,-2.48309,,,
100,kigeme,1,noemploy,,10,general,poor,good,Gasarenda,Gasarenda,daily,yes,,no,five,remain,########,,,districtonly,,no,,no,training/financing,,mobilemoney,,yes,She will be in big shop,daily,frequent,mobile,no,29.52241,-2.4831,,,
101,kigeme,1,noemploy,,15,other,poor,good,Gakoma,Gakoma,other,yes,,no,five,decrease,1/17/2016,,,districtonly,,no,,yes,financing/training,,mobilemoney,,yes,Her business will change to shop,daily,frequent,mobile,no,29.51278,-2.49223,,,
102,kigeme,1,noemploy,,10,other,poor,good,Gasarenda,Gasarenda,house,yes,,no,five,remain,8/21/2012,,,districtonly,,yes,The capital was decreased and this cause a decrease of their customer,no,financing/training,,underbed,,yes,Her business will be grow up to 5 time,weekly,frequent,microloan,yes,29.51321,-2.49192,,,
103,kigeme,1,noemploy,,3,clothing,poor,average,Gasarenda,Gasarenda,house,yes,,no,five,decrease,3/24/2014,,,districtonly,,no,,no,training,,underbed,,yes,He will change his business to general store,daily,frequent,microloan,yes,29.52311,-2.48329,,,
104,kigeme,1,noemploy,,35,general/grocery,poor,good,Gasarenda,Gasarenda,house,yes,,yes,five,increased,9/16/2012,,,districtonly,,no,,yes,training,,mobilemoney,,yes,After 5 years his profit will be used to buy a cow,weekly,frequent,microloan,no,29.52284,-2.48856,,,
105,kigeme,6,yesfamily,2,14,general,poor,good,Nyamagabe town,Nyamagabe,daily,yes,,no,five,increased,2/29/2016,,,districtonly,,no,,yes,financing,,mobilemoney,,yes,Not sure,weekly,frequent,mobile,no,29.505,-2.49844,,,
106,kigeme,1,noemploy,,15,other,poor,good,Gakoma,Gakoma,daily,yes,,no,five,increased,8/15/2013,,,districtonly,,no,,no,financing/training,,mobilemoney,,no,She hope change her to grocery,daily,frequent,microloan,no,29.52239,-2.48702,,,
107,kigeme,3,yesfamily,3,60,general/grocery,poor,good,Gasarenda and kigeme center,Gasarenda/KigemeTown,daily,yes,,no,five,increased,6/30/2014,,,aroundcamp,Kigeme center and gakoma,no,,yes,financing,,underbed,,yes,Spread more shops in this camp,daily,frequent,microloan,no,29.50408,-2.49905,,,
108,kigeme,1,noemploy,,7,grocery/other,poor,good,Kigeme center,KigemeTown,daily,yes,,no,five,remain,########,,,districtonly,,no,,no,financing/training,,mobilemoney,,no,His using 100000 today in 5 years he will use 500 000,weekly,frequent,mobile,no,29.52254,-2.48605,,,
109,kigeme,2,noemploy,,55,general,poor,good,Cyizi and karambi,Cyizi/Karambi,daily,yes,,no,five,increased,5/4/2013,,,districtonly,,no,,no,financing/training,,mobilemoney,,yes,It will grow up to 4 times,weekly,frequent,mobile,yes,29.52255,-2.48684,,,
110,kigeme,1,noemploy,,50,grocery/general,poor,good,Gasarenda and huye,Gasarenda/Huye,daily,yes,,no,five,increased,12/9/2015,,,districtonly,,no,,yes,financing/training,,mobilemoney/other,Bank,no,She use 1 million to day after 5 years she will use 3 millions,daily,frequent,saco/mobile,yes,29.52361,-2.48746,,,
111,kigeme,1,noemploy,,10,general,poor,good,Gasarenda and nyamagabe town,Nyamagabe/Gasarenda,house,yes,,no,five,decrease,########,,,districtonly,,no,,no,financing/training,,mobilemoney,,yes,His business will grow up 5 times,weekly,frequent,mobile/microloan,no,29.52272,-2.48475,,,
112,kigeme,1,noemploy,,18,restaurant,poor,good,Kibirizi,Kibirizi,house,yes,,no,five,increased,1/19/2017,,,aroundcamp,Kigeme center and gakoma,no,,no,financing/training,,other,Cooperative,yes,He hope that his business will expanded around the camp with a capital of 800 000rwf,daily,frequent,microloan/mobile,no,29.52295,-2.48445,,,
113,mugombwa,1,noemploy,,20,general,good,good,Huye town,Huye,house,yes,,no,five,decrease,4/30/2014,no,,aroundcamp,In the camp,no,,no,financing,,remittances,,no,I hope to have developed,monthly,monthly,commbank,yes,29.85071,-2.67612,firewood,,Insufficient capital
114,mugombwa,1,noemploy,,20,general,average,good,Kabuga trading center,Kabuga,house,yes,,yes,five,increased,########,yes,4,aroundcamp,In the camp,no,,no,financing,,mobilemoney,,no,My business will increase,monthly,monthly,mobile,yes,29.86596,-2.69482,other,All goods will be supplied,
115,mugombwa,1,noemploy,,30,general,average,good,Kabuga whole Sellers,Kabuga,house,yes,,no,five,increased,7/31/2016,no,,aroundcamp,In the camp,yes,Because of variety of commodities,no,financing,,mobilemoney,,no,I hope to be a supplier to other traders,weekly,monthly,mobile,yes,29.85104,-2.67708,other,All could be supplied without hindrance,
116,mugombwa,1,noemploy,,35,general,poor,good,Kabuga trading center,Kabuga,house,yes,,yes,four,increased,6/4/2014,no,,aroundcamp,In the camp,yes,Good customer care,no,financing,,remittances,,no,It will be well developed,daily,monthly,saco,yes,29.84957,-2.67495,firewood,,Insufficient capital
117,mugombwa,1,noemploy,,20,general,poor,good,Huye town,Huye,house,yes,,no,five,increased,4/19/2014,no,,aroundcamp,In the camp,yes,Because of good customer care,no,financing,,remittances,,no,I hope to be a whole seller,weekly,monthly,saco,yes,29.85275,-2.67862,firewood,,Because of insufficient capital
118,kigeme,1,noemploy,,12,business/restaurant,good,good,kigeme,KigemeTown,house,yes,,no,two,increased,########,,,aroundcamp,in village,yes,,no,financing/training,,underbed,,no,increase,daily,monthly,nobank,yes,29.51313,-2.49161,,,small capital
119,kigeme,1,noemploy,,10,business/general,average,good,gas arena,Gasarenda,house,yes,,no,three,increased,########,,,districtonly,,no,,no,financing/training,,underbed/mobilemoney,,no,increase,monthly,monthly,mobile,yes,78.37012,90,,,small capital
120,kigeme,1,noemploy,,20,clothing/general,good,good,nyamagabe,Nyamagabe,house,yes,,no,two,increased,########,,,districtonly,,yes,,yes,training/financing,,mobilemoney,,no,increase,weekly,monthly,mobile/saco,yes,29.51313,-2.49161,,,small capital
121,kigeme,1,noemploy,,8,restaurant,average,good,kigeme,KigemeTown,house,yes,,no,five,decrease,2/15/2016,,,aroundcamp,everywhere,yes,,no,financing/training,,mobilemoney,,no,increase,daily,monthly,mobile,yes,-118.214,-85.0508,,,small capital
122,kigeme,1,noemploy,,130,general/restaurant,good,good,nyamagabe andgasa renda,Nyamagabe/Gasarenda,formal/house,yes,,no,four,increased,6/15/2010,,,districtonly,,yes,because we are in cooperative,yes,financing,,underbed/other,cooperative,no,it will increase,weekly,monthly,saco,yes,29.51313,-2.49161,,,because of small capital
123,kigeme,1,noemploy,,100,grocery/business/general,good,good,gas arena,Gasarenda,house,yes,,no,zero,increased,########,,,aroundcamp,in the camp,yes,,no,financing/training,,mobilemoney,,yes,increase,monthly,monthly,mobile,yes,29.51313,-2.49161,,,because of small capital
124,kigeme,110,noemploy,,10,butcher,good,good,g a sarenda,Gasarenda,house,yes,,no,five,increased,########,,,aroundcamp,in the camp,yes,,no,financing/training,,mobilemoney/other,cooperative,no,increase,monthly,frequent,mobile,yes,-128.093,-85.0498,,,because of small capital
125,kigeme,12,yesother,11,10,grocery,good,good,Huye,Huye,formal,yes,,no,five,increased,########,,,districtonly,,yes,cash,yes,financing,,mobilemoney,,no,increase,daily,daily,mobile/commbank,yes,29.51325,-2.49127,,,because capital
126,kigeme,5,yesother,4,100,general/grocery/business,good,good,kigali,Kigali,formal,yes,,no,zero,increased,7/7/2014,,,aroundcamp,from everywhere,yes,new year,yes,financing/training,,mobilemoney,,yes,outside the camp in a local village,monthly,daily,commbank/saco/mobile,yes,29.51313,-2.49161,,,the lost of capital
127,mugombwa,1,noemploy,,15,hair,good,average,Butare,Huye,nosell,yes,,no,three,unsure,3/30/2013,no,,aroundcamp,everywhere,no,,no,financing,,mobilemoney,,no,he doesn't plan to continue the business for 5 years,daily,daily,mobile,no,29.85135,-2.67485,other,,said if they are given money they cannot supply their goods
